cor_char,IS_cor_r,IS_cor_p,IS_CI_left,IS_CI_right,IS_adj.p,cor_char,IR_cor_r,IR_cor_p,IR_CI_left,IR_CI_right,IR_adj.p,Sig_num
genus_Blautia vs genus_Eggerthella,-0.125758895,0.108591079,-0.274628899,0.028998892,0.276017459,genus_Blautia vs genus_Eggerthella,-0.373101262,2.20E-06,-0.503270353,-0.226375588,4.99E-05,1
genus_Blautia vs genus_Lachnospiracea_incertae_sedis,0.328256589,1.78E-05,0.183341064,0.459208878,0.00028447,genus_Blautia vs genus_Lachnospiracea_incertae_sedis,0.601173021,2.64E-16,0.487920112,0.694520988,1.28E-14,2
genus_Blautia vs genus_Oscillibacter,-0.28729959,0.00019145,-0.422766373,-0.139274013,0.002063862,genus_Blautia vs genus_Oscillibacter,-0.301562889,0.000159683,-0.440533884,-0.148477102,0.002135356,2
genus_Blautia vs genus_Parabacteroides,0.221709441,0.004328881,0.069903756,0.363478798,0.027152265,genus_Blautia vs genus_Parabacteroides,-0.135023631,0.097207438,-0.289030793,0.0257961,0.26783439,1
genus_Blautia vs genus_Prevotella,-0.236489778,0.002297968,-0.376939877,-0.085408809,0.016170889,genus_Blautia vs genus_Prevotella,-0.210135789,0.009365365,-0.358329952,-0.051612397,0.056508311,1
genus_Blautia vs genus_Roseburia,0.104685692,0.182189002,-0.050322067,0.254768658,0.379699199,genus_Blautia vs genus_Roseburia,0.305223,0.000131501,0.15241703,0.443776953,0.001789982,1
genus_Blautia vs genus_unclassified_Erysipelotrichaceae,0.085284079,0.277569764,-0.069829667,0.236371156,0.493265053,genus_Blautia vs genus_unclassified_Erysipelotrichaceae,0.214988272,0.007817549,0.056679605,0.362751434,0.049718302,1
genus_Blautia vs genus_unclassified_Lachnospiraceae,0.326123431,2.03E-05,0.181031458,0.457321667,0.000313776,genus_Blautia vs genus_unclassified_Lachnospiraceae,0.449021359,6.55E-09,0.311150486,0.568381659,2.15E-07,2
genus_Butyricicoccus vs genus_Collinsella,0.208025171,0.007518706,0.055613607,0.350962952,0.04181134,genus_Butyricicoccus vs genus_Collinsella,0.020925034,0.798043854,-0.139805326,0.180580986,0.90816677,1
genus_Butyricicoccus vs genus_Dorea,0.159865334,0.040875956,0.005813175,0.30650528,0.142068873,genus_Butyricicoccus vs genus_Dorea,0.262567653,0.00108325,0.106800226,0.405755206,0.010487513,1
genus_Butyricicoccus vs genus_Lachnospiracea_incertae_sedis,0.260836615,0.000742518,0.111109982,0.398984968,0.00636444,genus_Butyricicoccus vs genus_Lachnospiracea_incertae_sedis,-0.012349632,0.879971482,-0.172270206,0.148205218,0.949294998,1
genus_Butyricicoccus vs genus_Odoribacter,-0.262945199,0.000669815,-0.400886721,-0.113345323,0.005851255,genus_Butyricicoccus vs genus_Odoribacter,-0.082015331,0.315138006,-0.239133708,0.079288353,0.541457915,1
genus_Butyricicoccus vs genus_Veillonella,-0.250652287,0.001207088,-0.389782853,-0.100334711,0.00939463,genus_Butyricicoccus vs genus_Veillonella,-0.028051757,0.731554923,-0.187470488,0.132806818,0.863325685,1
genus_Butyricicoccus vs genus_unclassified_Porphyromonadaceae,-0.083852843,0.285742489,-0.235009689,0.071264038,0.501593784,genus_Butyricicoccus vs genus_unclassified_Porphyromonadaceae,-0.255023128,0.00152031,-0.398978255,-0.098799579,0.01377509,1
genus_Butyricimonas vs genus_Clostridium.XI,-0.326677865,1.96E-05,-0.45781229,-0.181631599,0.000306081,genus_Butyricimonas vs genus_Clostridium.XI,0.030455613,0.709543803,-0.130442586,0.189790796,0.849886982,1
genus_Butyricimonas vs genus_Odoribacter,0.25023662,0.00123076,0.099895673,0.389406683,0.009471377,genus_Butyricimonas vs genus_Odoribacter,0.145558229,0.073568074,-0.015054479,0.298848404,0.224363149,1
genus_Butyricimonas vs genus_Oscillibacter,0.282618756,0.000245758,0.134274797,0.4185734,0.002546944,genus_Butyricimonas vs genus_Oscillibacter,0.182125212,0.024725115,0.022521022,0.332676683,0.10758256,1
genus_Butyricimonas vs genus_unclassified_Erysipelotrichaceae,-0.216908213,0.005273612,-0.35909334,-0.064882845,0.031935816,genus_Butyricimonas vs genus_unclassified_Erysipelotrichaceae,-0.111566289,0.171185944,-0.267052966,0.049581748,0.37692318,1
genus_Clostridium.IV vs genus_Dorea,-0.213844567,0.005969004,-0.356291711,-0.061683039,0.035166224,genus_Clostridium.IV vs genus_Dorea,-0.004199707,0.959046415,-0.164350617,0.156166928,0.986762162,1
genus_Clostridium.IV vs genus_Oscillibacter,0.284080982,0.000227422,0.135835671,0.419883848,0.002402679,genus_Clostridium.IV vs genus_Oscillibacter,0.188216774,0.020225913,0.028824714,0.338274616,0.095377625,1
genus_Clostridium.IV vs genus_Parabacteroides,-0.303855719,7.64E-05,-0.437550545,-0.157017007,0.000967721,genus_Clostridium.IV vs genus_Parabacteroides,0.009301357,0.909451311,-0.151185534,0.169310501,0.961534425,1
genus_Clostridium.IV vs genus_Parasutterella,0.215184856,0.005655294,0.06308251,0.357517687,0.033798348,genus_Clostridium.IV vs genus_Parasutterella,-0.100802854,0.21658052,-0.256913981,0.060434989,0.434877663,1
genus_Clostridium.IV vs genus_unclassified_Erysipelotrichaceae,-0.261559619,0.000716809,-0.399637187,-0.111876279,0.006192691,genus_Clostridium.IV vs genus_unclassified_Erysipelotrichaceae,-0.108527226,0.183220987,-0.2641937,0.052650029,0.393526069,1
genus_Clostridium.XI vs genus_Clostridium.sensu.stricto,0.212028776,0.006418766,0.059788021,0.354630004,0.037050091,genus_Clostridium.XI vs genus_Clostridium.sensu.stricto,-0.001136759,0.98891039,-0.161368887,0.159153762,0.997759252,1
